Driver,LapNumber,LapTime,Compound,Stint
VER,1.0,99.019,SOFT,1.0
VER,2.0,97.974,SOFT,1.0
VER,3.0,98.006,SOFT,1.0
VER,4.0,97.976,SOFT,1.0
VER,5.0,98.035,SOFT,1.0
VER,6.0,97.986,SOFT,1.0
VER,7.0,98.021,SOFT,1.0
VER,8.0,98.154,SOFT,1.0
VER,9.0,98.278,SOFT,1.0
VER,10.0,98.369,SOFT,1.0
VER,11.0,98.483,SOFT,1.0
VER,12.0,98.591,SOFT,1.0
VER,13.0,98.482,SOFT,1.0
VER,14.0,101.295,SOFT,1.0
VER,15.0,118.378,SOFT,2.0
VER,16.0,97.801,SOFT,2.0
VER,17.0,97.648,SOFT,2.0
VER,18.0,97.614,SOFT,2.0
VER,19.0,97.712,SOFT,2.0
VER,20.0,97.788,SOFT,2.0
VER,21.0,97.582,SOFT,2.0
VER,22.0,97.651,SOFT,2.0
VER,23.0,97.552,SOFT,2.0
VER,24.0,97.387,SOFT,2.0
VER,25.0,97.372,SOFT,2.0
VER,26.0,97.682,SOFT,2.0
VER,27.0,97.379,SOFT,2.0
VER,28.0,97.651,SOFT,2.0
VER,29.0,97.571,SOFT,2.0
VER,30.0,97.549,SOFT,2.0
VER,31.0,97.431,SOFT,2.0
VER,32.0,97.691,SOFT,2.0
VER,33.0,97.686,SOFT,2.0
VER,34.0,97.839,SOFT,2.0
VER,35.0,97.85,SOFT,2.0
VER,36.0,100.964,SOFT,2.0
VER,37.0,118.49,HARD,3.0
VER,38.0,96.297,HARD,3.0
VER,39.0,96.446,HARD,3.0
VER,40.0,96.942,HARD,3.0
VER,41.0,120.495,HARD,3.0
VER,42.0,104.824,HARD,3.0
VER,43.0,96.89,HARD,3.0
VER,44.0,96.236,HARD,3.0
VER,45.0,97.015,HARD,3.0
VER,46.0,96.701,HARD,3.0
VER,47.0,97.009,HARD,3.0
VER,48.0,96.918,HARD,3.0
VER,49.0,96.962,HARD,3.0
VER,50.0,97.25,HARD,3.0
VER,51.0,97.427,HARD,3.0
VER,52.0,96.919,HARD,3.0
VER,53.0,96.89,HARD,3.0
VER,54.0,96.678,HARD,3.0
VER,55.0,96.322,HARD,3.0
VER,56.0,97.205,HARD,3.0
VER,57.0,96.373,HARD,3.0
GAS,1.0,109.649,SOFT,1.0
GAS,2.0,100.438,SOFT,1.0
GAS,3.0,100.643,SOFT,1.0
GAS,4.0,100.894,SOFT,1.0
GAS,5.0,100.818,SOFT,1.0
GAS,6.0,101.11,SOFT,1.0
GAS,7.0,101.134,SOFT,1.0
GAS,8.0,101.173,SOFT,1.0
GAS,9.0,104.201,SOFT,1.0
GAS,10.0,121.262,HARD,2.0
GAS,11.0,98.762,HARD,2.0
GAS,12.0,98.928,HARD,2.0
GAS,13.0,99.349,HARD,2.0
GAS,14.0,98.859,HARD,2.0
GAS,15.0,98.985,HARD,2.0
GAS,16.0,98.945,HARD,2.0
GAS,17.0,99.011,HARD,2.0
GAS,18.0,99.029,HARD,2.0
GAS,19.0,99.066,HARD,2.0
GAS,20.0,99.017,HARD,2.0
GAS,21.0,99.327,HARD,2.0
GAS,22.0,99.485,HARD,2.0
GAS,23.0,99.263,HARD,2.0
GAS,24.0,99.761,HARD,2.0
GAS,25.0,102.288,HARD,2.0
GAS,26.0,119.404,HARD,3.0
GAS,27.0,98.729,HARD,3.0
GAS,28.0,97.761,HARD,3.0
GAS,29.0,98.012,HARD,3.0
GAS,30.0,97.76,HARD,3.0
GAS,31.0,97.968,HARD,3.0
GAS,32.0,98.012,HARD,3.0
GAS,33.0,97.974,HARD,3.0
GAS,34.0,98.022,HARD,3.0
GAS,35.0,98.088,HARD,3.0
GAS,36.0,98.184,HARD,3.0
GAS,37.0,98.133,HARD,3.0
GAS,38.0,98.108,HARD,3.0
GAS,39.0,98.537,HARD,3.0
GAS,40.0,109.707,HARD,3.0
GAS,41.0,128.544,SOFT,4.0
GAS,42.0,95.068,SOFT,4.0
GAS,43.0,95.942,SOFT,4.0
GAS,44.0,95.792,SOFT,4.0
GAS,45.0,96.186,SOFT,4.0
GAS,46.0,96.041,SOFT,4.0
GAS,47.0,96.12,SOFT,4.0
GAS,48.0,96.368,SOFT,4.0
GAS,49.0,96.803,SOFT,4.0
GAS,50.0,96.551,SOFT,4.0
GAS,51.0,96.635,SOFT,4.0
GAS,52.0,96.891,SOFT,4.0
GAS,53.0,96.979,SOFT,4.0
GAS,54.0,97.222,SOFT,4.0
GAS,55.0,97.559,SOFT,4.0
GAS,56.0,97.845,SOFT,4.0
GAS,57.0,98.147,SOFT,4.0
PER,1.0,101.063,SOFT,1.0
PER,2.0,98.862,SOFT,1.0
PER,3.0,98.83,SOFT,1.0
PER,4.0,98.758,SOFT,1.0
PER,5.0,98.404,SOFT,1.0
PER,6.0,98.718,SOFT,1.0
PER,7.0,98.804,SOFT,1.0
PER,8.0,99.172,SOFT,1.0
PER,9.0,98.914,SOFT,1.0
PER,10.0,99.085,SOFT,1.0
PER,11.0,99.249,SOFT,1.0
PER,12.0,99.197,SOFT,1.0
PER,13.0,99.336,SOFT,1.0
PER,14.0,98.739,SOFT,1.0
PER,15.0,98.608,SOFT,1.0
PER,16.0,98.77,SOFT,1.0
PER,17.0,101.36,SOFT,1.0
PER,18.0,118.797,SOFT,2.0
PER,19.0,97.659,SOFT,2.0
PER,20.0,97.448,SOFT,2.0
PER,21.0,97.24,SOFT,2.0
PER,22.0,97.169,SOFT,2.0
PER,23.0,97.304,SOFT,2.0
PER,24.0,97.352,SOFT,2.0
PER,25.0,98.418,SOFT,2.0
PER,26.0,97.454,SOFT,2.0
PER,27.0,97.387,SOFT,2.0
PER,28.0,97.211,SOFT,2.0
PER,29.0,97.733,SOFT,2.0
PER,30.0,97.4,SOFT,2.0
PER,31.0,97.919,SOFT,2.0
PER,32.0,97.722,SOFT,2.0
PER,33.0,97.869,SOFT,2.0
PER,34.0,100.686,SOFT,2.0
PER,35.0,118.785,HARD,3.0
PER,36.0,96.82,HARD,3.0
PER,37.0,96.344,HARD,3.0
PER,38.0,96.431,HARD,3.0
PER,39.0,96.429,HARD,3.0
PER,40.0,97.114,HARD,3.0
PER,41.0,123.522,HARD,3.0
PER,42.0,99.657,HARD,3.0
PER,43.0,96.554,HARD,3.0
PER,44.0,96.978,HARD,3.0
PER,45.0,96.928,HARD,3.0
PER,46.0,97.257,HARD,3.0
PER,47.0,96.661,HARD,3.0
PER,48.0,96.859,HARD,3.0
PER,49.0,97.049,HARD,3.0
PER,50.0,97.731,HARD,3.0
PER,51.0,97.049,HARD,3.0
PER,52.0,97.062,HARD,3.0
PER,53.0,97.345,HARD,3.0
PER,54.0,97.296,HARD,3.0
PER,55.0,97.092,HARD,3.0
PER,56.0,96.565,HARD,3.0
PER,57.0,96.558,HARD,3.0
ALO,1.0,103.608,SOFT,1.0
ALO,2.0,99.792,SOFT,1.0
ALO,3.0,99.1,SOFT,1.0
ALO,4.0,99.548,SOFT,1.0
ALO,5.0,99.662,SOFT,1.0
ALO,6.0,99.674,SOFT,1.0
ALO,7.0,99.729,SOFT,1.0
ALO,8.0,99.959,SOFT,1.0
ALO,9.0,100.275,SOFT,1.0
ALO,10.0,100.203,SOFT,1.0
ALO,11.0,101.147,SOFT,1.0
ALO,12.0,100.934,SOFT,1.0
ALO,13.0,100.341,SOFT,1.0
ALO,14.0,102.212,SOFT,1.0
ALO,15.0,119.692,HARD,2.0
ALO,16.0,97.542,HARD,2.0
ALO,17.0,98.139,HARD,2.0
ALO,18.0,98.124,HARD,2.0
ALO,19.0,98.361,HARD,2.0
ALO,20.0,98.318,HARD,2.0
ALO,21.0,98.407,HARD,2.0
ALO,22.0,98.2,HARD,2.0
ALO,23.0,97.853,HARD,2.0
ALO,24.0,97.878,HARD,2.0
ALO,25.0,98.139,HARD,2.0
ALO,26.0,98.127,HARD,2.0
ALO,27.0,98.612,HARD,2.0
ALO,28.0,98.199,HARD,2.0
ALO,29.0,98.585,HARD,2.0
ALO,30.0,98.282,HARD,2.0
ALO,31.0,98.009,HARD,2.0
ALO,32.0,97.871,HARD,2.0
ALO,33.0,97.769,HARD,2.0
ALO,34.0,100.353,HARD,2.0
ALO,35.0,117.389,HARD,3.0
ALO,36.0,96.156,HARD,3.0
ALO,37.0,97.431,HARD,3.0
ALO,38.0,97.002,HARD,3.0
ALO,39.0,97.243,HARD,3.0
ALO,40.0,97.208,HARD,3.0
ALO,41.0,126.713,HARD,3.0
ALO,42.0,96.334,HARD,3.0
ALO,43.0,96.911,HARD,3.0
ALO,44.0,97.022,HARD,3.0
ALO,45.0,97.931,HARD,3.0
ALO,46.0,97.087,HARD,3.0
ALO,47.0,97.326,HARD,3.0
ALO,48.0,96.783,HARD,3.0
ALO,49.0,96.726,HARD,3.0
ALO,50.0,96.331,HARD,3.0
ALO,51.0,96.96,HARD,3.0
ALO,52.0,97.01,HARD,3.0
ALO,53.0,97.01,HARD,3.0
ALO,54.0,97.599,HARD,3.0
ALO,55.0,97.662,HARD,3.0
ALO,56.0,97.473,HARD,3.0
ALO,57.0,97.422,HARD,3.0
LEC,1.0,100.23,SOFT,1.0
LEC,2.0,98.75,SOFT,1.0
LEC,3.0,98.658,SOFT,1.0
LEC,4.0,98.825,SOFT,1.0
LEC,5.0,98.664,SOFT,1.0
LEC,6.0,98.572,SOFT,1.0
LEC,7.0,98.691,SOFT,1.0
LEC,8.0,98.614,SOFT,1.0
LEC,9.0,98.828,SOFT,1.0
LEC,10.0,99.073,SOFT,1.0
LEC,11.0,99.212,SOFT,1.0
LEC,12.0,99.489,SOFT,1.0
LEC,13.0,102.068,SOFT,1.0
LEC,14.0,118.77,HARD,2.0
LEC,15.0,98.477,HARD,2.0
LEC,16.0,97.953,HARD,2.0
LEC,17.0,98.031,HARD,2.0
LEC,18.0,97.798,HARD,2.0
LEC,19.0,97.858,HARD,2.0
LEC,20.0,97.631,HARD,2.0
LEC,21.0,97.753,HARD,2.0
LEC,22.0,98.162,HARD,2.0
LEC,23.0,98.054,HARD,2.0
LEC,24.0,97.972,HARD,2.0
LEC,25.0,98.541,HARD,2.0
LEC,26.0,99.668,HARD,2.0
LEC,27.0,98.814,HARD,2.0
LEC,28.0,98.618,HARD,2.0
LEC,29.0,98.447,HARD,2.0
LEC,30.0,98.39,HARD,2.0
LEC,31.0,98.746,HARD,2.0
LEC,32.0,98.948,HARD,2.0
LEC,33.0,101.323,HARD,2.0
LEC,34.0,119.477,HARD,3.0
LEC,35.0,98.073,HARD,3.0
LEC,36.0,97.313,HARD,3.0
LEC,37.0,97.17,HARD,3.0
LEC,38.0,97.17,HARD,3.0
LEC,39.0,97.287,HARD,3.0
STR,1.0,104.67,SOFT,1.0
STR,2.0,99.892,SOFT,1.0
STR,3.0,99.625,SOFT,1.0
STR,4.0,99.745,SOFT,1.0
STR,5.0,99.144,SOFT,1.0
STR,6.0,99.714,SOFT,1.0
STR,7.0,99.945,SOFT,1.0
STR,8.0,99.801,SOFT,1.0
STR,9.0,100.106,SOFT,1.0
STR,10.0,100.192,SOFT,1.0
STR,11.0,100.923,SOFT,1.0
STR,12.0,101.039,SOFT,1.0
STR,13.0,101.12,SOFT,1.0
STR,14.0,100.002,SOFT,1.0
STR,15.0,102.841,SOFT,1.0
STR,16.0,119.876,HARD,2.0
STR,17.0,97.507,HARD,2.0
STR,18.0,98.127,HARD,2.0
STR,19.0,98.587,HARD,2.0
STR,20.0,98.038,HARD,2.0
STR,21.0,98.273,HARD,2.0
STR,22.0,98.73,HARD,2.0
STR,23.0,98.295,HARD,2.0
STR,24.0,98.478,HARD,2.0
STR,25.0,98.25,HARD,2.0
STR,26.0,98.482,HARD,2.0
STR,27.0,99.021,HARD,2.0
STR,28.0,98.723,HARD,2.0
STR,29.0,98.71,HARD,2.0
STR,30.0,101.467,HARD,2.0
STR,31.0,117.063,HARD,3.0
STR,32.0,96.546,HARD,3.0
STR,33.0,97.21,HARD,3.0
STR,34.0,97.168,HARD,3.0
STR,35.0,97.521,HARD,3.0
STR,36.0,97.72,HARD,3.0
STR,37.0,97.68,HARD,3.0
STR,38.0,97.274,HARD,3.0
STR,39.0,97.456,HARD,3.0
STR,40.0,97.916,HARD,3.0
STR,41.0,126.809,HARD,3.0
STR,42.0,97.298,HARD,3.0
STR,43.0,97.304,HARD,3.0
STR,44.0,97.299,HARD,3.0
STR,45.0,97.222,HARD,3.0
STR,46.0,97.562,HARD,3.0
STR,47.0,97.257,HARD,3.0
STR,48.0,97.448,HARD,3.0
STR,49.0,97.551,HARD,3.0
STR,50.0,97.388,HARD,3.0
STR,51.0,97.866,HARD,3.0
STR,52.0,97.579,HARD,3.0
STR,53.0,98.379,HARD,3.0
STR,54.0,97.597,HARD,3.0
STR,55.0,97.701,HARD,3.0
STR,56.0,98.11,HARD,3.0
STR,57.0,97.991,HARD,3.0
SAR,1.0,106.855,SOFT,1.0
SAR,2.0,100.467,SOFT,1.0
SAR,3.0,100.349,SOFT,1.0
SAR,4.0,100.644,SOFT,1.0
SAR,5.0,100.902,SOFT,1.0
SAR,6.0,100.791,SOFT,1.0
SAR,7.0,100.892,SOFT,1.0
SAR,8.0,100.868,SOFT,1.0
SAR,9.0,100.908,SOFT,1.0
SAR,10.0,101.133,SOFT,1.0
SAR,11.0,101.532,SOFT,1.0
SAR,12.0,103.88,SOFT,1.0
SAR,13.0,120.255,SOFT,2.0
SAR,14.0,98.413,SOFT,2.0
SAR,15.0,99.033,SOFT,2.0
SAR,16.0,98.988,SOFT,2.0
SAR,17.0,99.439,SOFT,2.0
SAR,18.0,99.399,SOFT,2.0
SAR,19.0,99.22,SOFT,2.0
SAR,20.0,99.186,SOFT,2.0
SAR,21.0,99.612,SOFT,2.0
SAR,22.0,99.362,SOFT,2.0
SAR,23.0,99.692,SOFT,2.0
SAR,24.0,99.872,SOFT,2.0
SAR,25.0,99.834,SOFT,2.0
SAR,26.0,100.006,SOFT,2.0
SAR,27.0,99.602,SOFT,2.0
SAR,28.0,99.62,SOFT,2.0
SAR,29.0,99.673,SOFT,2.0
SAR,30.0,102.409,SOFT,2.0
SAR,31.0,119.303,HARD,3.0
SAR,32.0,97.613,HARD,3.0
SAR,33.0,97.862,HARD,3.0
SAR,34.0,97.902,HARD,3.0
SAR,35.0,98.029,HARD,3.0
SAR,36.0,97.717,HARD,3.0
SAR,37.0,97.831,HARD,3.0
SAR,38.0,98.015,HARD,3.0
SAR,39.0,97.971,HARD,3.0
SAR,40.0,113.753,HARD,3.0
SAR,41.0,125.614,SOFT,4.0
SAR,42.0,96.037,SOFT,4.0
SAR,43.0,96.801,SOFT,4.0
SAR,44.0,97.407,SOFT,4.0
SAR,45.0,97.462,SOFT,4.0
SAR,46.0,98.441,SOFT,4.0
SAR,47.0,97.227,SOFT,4.0
SAR,48.0,97.068,SOFT,4.0
SAR,49.0,97.225,SOFT,4.0
SAR,50.0,97.29,SOFT,4.0
SAR,51.0,97.472,SOFT,4.0
SAR,52.0,97.456,SOFT,4.0
SAR,53.0,97.662,SOFT,4.0
SAR,54.0,97.936,SOFT,4.0
SAR,55.0,98.316,SOFT,4.0
SAR,56.0,99.626,SOFT,4.0
MAG,1.0,109.33,HARD,1.0
MAG,2.0,101.521,HARD,1.0
MAG,3.0,101.978,HARD,1.0
MAG,4.0,100.773,HARD,1.0
MAG,5.0,101.34,HARD,1.0
MAG,6.0,101.125,HARD,1.0
MAG,7.0,101.526,HARD,1.0
MAG,8.0,101.283,HARD,1.0
MAG,9.0,101.278,HARD,1.0
MAG,10.0,101.719,HARD,1.0
MAG,11.0,102.049,HARD,1.0
MAG,12.0,101.345,HARD,1.0
MAG,13.0,101.654,HARD,1.0
MAG,14.0,101.739,HARD,1.0
MAG,15.0,104.899,HARD,1.0
MAG,16.0,120.587,HARD,2.0
MAG,17.0,98.319,HARD,2.0
MAG,18.0,98.274,HARD,2.0
MAG,19.0,98.803,HARD,2.0
MAG,20.0,99.083,HARD,2.0
MAG,21.0,99.086,HARD,2.0
MAG,22.0,98.913,HARD,2.0
MAG,23.0,99.027,HARD,2.0
MAG,24.0,98.947,HARD,2.0
MAG,25.0,99.476,HARD,2.0
MAG,26.0,99.601,HARD,2.0
MAG,27.0,99.298,HARD,2.0
MAG,28.0,99.316,HARD,2.0
MAG,29.0,101.979,HARD,2.0
MAG,30.0,120.933,SOFT,3.0
MAG,31.0,98.593,SOFT,3.0
MAG,32.0,97.644,SOFT,3.0
MAG,33.0,97.097,SOFT,3.0
MAG,34.0,97.528,SOFT,3.0
MAG,35.0,97.46,SOFT,3.0
MAG,36.0,97.754,SOFT,3.0
MAG,37.0,97.998,SOFT,3.0
MAG,38.0,98.303,SOFT,3.0
MAG,39.0,98.587,SOFT,3.0
MAG,40.0,117.797,SOFT,3.0
MAG,41.0,122.547,SOFT,4.0
MAG,42.0,96.471,SOFT,4.0
MAG,43.0,96.942,SOFT,4.0
MAG,44.0,96.588,SOFT,4.0
MAG,45.0,97.126,SOFT,4.0
MAG,46.0,97.589,SOFT,4.0
MAG,47.0,97.629,SOFT,4.0
MAG,48.0,97.607,SOFT,4.0
MAG,49.0,97.739,SOFT,4.0
MAG,50.0,98.315,SOFT,4.0
MAG,51.0,98.157,SOFT,4.0
MAG,52.0,97.963,SOFT,4.0
MAG,53.0,97.982,SOFT,4.0
MAG,54.0,99.651,SOFT,4.0
MAG,55.0,98.446,SOFT,4.0
MAG,56.0,98.779,SOFT,4.0
DEV,1.0,109.959,SOFT,1.0
DEV,2.0,101.289,SOFT,1.0
DEV,3.0,100.914,SOFT,1.0
DEV,4.0,100.373,SOFT,1.0
DEV,5.0,100.63,SOFT,1.0
DEV,6.0,101.125,SOFT,1.0
DEV,7.0,101.166,SOFT,1.0
DEV,8.0,101.23,SOFT,1.0
DEV,9.0,101.573,SOFT,1.0
DEV,10.0,101.666,SOFT,1.0
DEV,11.0,105.46,SOFT,1.0
DEV,12.0,121.184,HARD,2.0
DEV,13.0,98.924,HARD,2.0
DEV,14.0,98.829,HARD,2.0
DEV,15.0,98.868,HARD,2.0
DEV,16.0,99.127,HARD,2.0
DEV,17.0,98.996,HARD,2.0
DEV,18.0,99.054,HARD,2.0
DEV,19.0,99.078,HARD,2.0
DEV,20.0,99.182,HARD,2.0
DEV,21.0,99.182,HARD,2.0
DEV,22.0,99.296,HARD,2.0
DEV,23.0,99.542,HARD,2.0
DEV,24.0,99.807,HARD,2.0
DEV,25.0,100.96,HARD,2.0
DEV,26.0,99.97,HARD,2.0
DEV,27.0,102.309,HARD,2.0
DEV,28.0,120.083,HARD,3.0
DEV,29.0,98.121,HARD,3.0
DEV,30.0,97.709,HARD,3.0
DEV,31.0,97.909,HARD,3.0
DEV,32.0,97.902,HARD,3.0
DEV,33.0,97.933,HARD,3.0
DEV,34.0,98.266,HARD,3.0
DEV,35.0,98.123,HARD,3.0
DEV,36.0,98.206,HARD,3.0
DEV,37.0,98.423,HARD,3.0
DEV,38.0,98.379,HARD,3.0
DEV,39.0,98.535,HARD,3.0
DEV,40.0,113.544,HARD,3.0
DEV,41.0,114.359,HARD,3.0
DEV,42.0,99.873,HARD,3.0
DEV,43.0,100.177,HARD,3.0
DEV,44.0,99.588,HARD,3.0
DEV,45.0,98.889,HARD,3.0
DEV,46.0,98.871,HARD,3.0
DEV,47.0,98.921,HARD,3.0
DEV,48.0,100.441,HARD,3.0
DEV,49.0,98.985,HARD,3.0
DEV,50.0,99.089,HARD,3.0
DEV,51.0,100.475,HARD,3.0
DEV,52.0,100.33,HARD,3.0
DEV,53.0,99.15,HARD,3.0
DEV,54.0,98.885,HARD,3.0
DEV,55.0,99.239,HARD,3.0
DEV,56.0,99.161,HARD,3.0
TSU,1.0,107.791,SOFT,1.0
TSU,2.0,100.837,SOFT,1.0
TSU,3.0,100.243,SOFT,1.0
TSU,4.0,99.95,SOFT,1.0
TSU,5.0,101.131,SOFT,1.0
TSU,6.0,100.886,SOFT,1.0
TSU,7.0,100.952,SOFT,1.0
TSU,8.0,100.846,SOFT,1.0
TSU,9.0,101.01,SOFT,1.0
TSU,10.0,103.749,SOFT,1.0
TSU,11.0,119.843,HARD,2.0
TSU,12.0,99.143,HARD,2.0
TSU,13.0,99.471,HARD,2.0
TSU,14.0,98.742,HARD,2.0
TSU,15.0,98.975,HARD,2.0
TSU,16.0,99.061,HARD,2.0
TSU,17.0,99.021,HARD,2.0
TSU,18.0,99.302,HARD,2.0
TSU,19.0,99.17,HARD,2.0
TSU,20.0,99.282,HARD,2.0
TSU,21.0,99.325,HARD,2.0
TSU,22.0,99.439,HARD,2.0
TSU,23.0,99.632,HARD,2.0
TSU,24.0,100.109,HARD,2.0
TSU,25.0,99.746,HARD,2.0
TSU,26.0,102.227,HARD,2.0
TSU,27.0,120.3,HARD,3.0
TSU,28.0,97.824,HARD,3.0
TSU,29.0,97.779,HARD,3.0
TSU,30.0,98.147,HARD,3.0
TSU,31.0,97.813,HARD,3.0
TSU,32.0,98.017,HARD,3.0
TSU,33.0,98.094,HARD,3.0
TSU,34.0,98.13,HARD,3.0
TSU,35.0,98.163,HARD,3.0
